,Tweets,Subjectivity,Polarity,Analysis
33,बहुत-बहुत धन्यवाद। ,0.0,0.0,Neutral
34,Thank you for the Raksha Bandhan greetings! Lovely Rakhi too. ,0.75,0.5,Positive
35,Thank you for the wishes!  :) ,1.0,0.5,Positive
36,अद्य संस्कृतदिवसे ये संस्कृतभाषां पठन्ति तथा च जनेषु तस्याः प्रचारार्थं प्रयासं कुर्वन्ति तान् सर्वान् प्रणमामि। संस्कृतभाषा सुन्दरी भाषा अस्ति किञ्च सहस्रशः वर्षेभ्यः अस्माकं श्रेष्ठायाः संस्कृत्याः भागभूता अस्ति। आगामिषु वर्षेषु संस्कृतभाषायाः लोकप्रियता नितराम् अभिवर्धताम्।,0.0,0.0,Neutral
37,"लता दीदी, रक्षा बंधन के इस शुभ अवसर पर आपका यह भावपूर्ण संदेश असीम प्रेरणा और ऊर्जा देने वाला है। करोड़ों माताओं-बहनों के आशीर्वाद से हमारा देश नित नई ऊंचाइयों को छुएगा, नई-नई सफलताएं प्राप्त करेगा। आप स्वस्थ रहें और दीर्घायु हों, ईश्वर से मेरी यही प्रार्थना है।  ",0.0,0.0,Neutral
38,"Respected  Ji, I am most humbled by your special Raksha Bandhan greetings. It is my honour and privilege to work for our great nation.

Blessings from you, and from India’s Nari Shakti, give me great strength. They are also vital for India’s growth and progress. ",0.5942857142857142,0.5114285714285715,Positive
39,रक्षा बंधन के पावन पर्व पर समस्त देशवासियों को बहुत-बहुत शुभकामनाएं।,0.0,0.0,Neutral
40,"Thank you ! Greetings to you as well as to the wonderful people of Israel. 

May the India-Israel friendship grow even stronger in the times to come. ",1.0,1.0,Positive
41,उत्तर प्रदेश सरकार की मंत्री श्रीमती कमला रानी वरुण जी के निधन से बहुत दुख हुआ। उनका पूरा जीवन समाजसेवा के प्रति समर्पित रहा। उन्होंने राज्य में भाजपा को मजबूत बनाने में महत्वपूर्ण भूमिका निभाई। शोक की इस घड़ी में मेरी संवेदनाएं उनके परिजनों और समर्थकों के साथ हैं।ओम शांति!,0.0,0.0,Neutral
42,"Best wishes to CM of Gujarat, Shri  on his birthday. He has been making an effective contribution to Gujarat’s progress. Praying for his long and healthy life.",0.5,0.5125,Positive
43,"Best wishes to generations of footballers, members and of course supporters on the centenary of . This is a milestone for Indian sport, and for the football traditions and sports-loving culture of West Bengal. May the East Bengal Mashal forever illuminate the Maidan!",0.3,1.0,Positive
44,The New Education Policy celebrates both local and global. Here is how... ,0.15151515151515152,0.04545454545454545,Positive
45,"Focus on multi-disciplinary aspects, flexibility and more...some salient features of the National Education Policy, 2020. ",0.0,0.0,Neutral
46,"The National Education Policy will make our education:

More fruitful.
 
Broad-based.
 
One that guides our youth to their natural passions. ",0.45,0.3,Positive
47,"The National Education Policy, 2020 reflects India’s aspirations and will contribute to improving the education sector. ",0.0,0.0,Neutral
48,"The Smart India Hackathon offered yet another glimpse of India’s talented Yuva Shakti. It is these youngsters who will take India to newer heights. Happy to have heard their ideas on a wide range of subjects including agriculture, water conservation, IT and more.",0.6885714285714285,0.4228571428571429,Positive
49,"Amar Singh Ji  was an energetic public figure. In the last few decades, he witnessed some of the major political developments from close quarters. He was known for his friendships across many spheres of life. Saddened by his demise. Condolences to his friends &amp; family. Om Shanti.",0.2619047619047619,0.12321428571428572,Positive
50,Interacting with our bright young minds at the Smart India Hackathon. ,0.6142857142857143,0.33809523809523806,Positive
51,"India bows to Lokmanya Tilak on his 100th Punya Tithi. 

His intellect, courage, sense of justice and idea of Swaraj continue to inspire. 

Here are some facets of Lokmanya Tilak’s life... ",0.0,0.0,Neutral
52,"Eid Mubarak!

Greetings on Eid al-Adha. May this day inspire us to create a just, harmonious and inclusive society. May the spirit of brotherhood and compassion be furthered.",0.0,0.0,Neutral
53,"The Smart India Hackathon has emerged as a vibrant forum to ideate and innovate. Naturally, this time our youth would be focussing on the post-COVID world in their innovations, along with ways to create an Aatmanirbhar Bharat. 

",0.4587301587301587,0.1603174603174603,Positive
54,"Young India is filled with talent! The grand finale of the Smart India Hackathon 2020 showcases this very spirit of innovation and excellence. On 1st August at 4:30 PM, looking forward to interacting with the finalists of the Hackathon and knowing more about their works.",0.6238095238095237,0.3357142857142857,Positive
55,Padma Shri Ren Sonam Tshering Lepcha Ji was a a multi-faceted personality. He made outstanding efforts to popularise the great Lepcha culture. His works are respected across generations. Anguished by his demise. Condolences to his family and admirers. Om Shanti.,0.8125,0.65,Positive
56,Inaugurating the Supreme Court Building of Mauritius with PM . ,0.0,0.0,Neutral
57,"Another example of India-Mauritius friendship. 

At 12 noon on 30th July,    and I would jointly inaugurate, via video conferencing, the new Supreme Court Building of Mauritius. India is honoured to have assisted in this key project. ",0.7272727272727273,0.06818181818181818,Positive
58,"Had an extensive interaction with stakeholders from banks and NBFCs to deliberate on the roadmap for economic growth, helping entrepreneurs and a range of other aspects. ",0.30277777777777776,0.025000000000000005,Positive
59,"Framing of NEP 2020 will be remembered as a shining example of participative governance. I thank all those who have worked hard in the formulation of the NEP 2020. 

May education brighten our nation and lead it to prosperity.",0.5416666666666666,-0.2916666666666667,Negative
60,"Aspects such as widening the availability of scholarships, strengthening infrastructure for Open and Distance Learning, Online Education and increasing the usage of technology have received great attention in the NEP. These are vital reforms for the education sector.",0.5375,0.225,Positive
61,"Respecting the spirit ‘Ek Bharat Shreshtha Bharat’, the NEP 2020 includes systems to promote Indian languages, including Sanskrit. Many foreign languages will also be offered at the secondary level. 

Indian Sign Language (ISL) will be standardised across the country.",0.30833333333333335,0.025000000000000005,Positive
62,"UG education would also include multiple entry and exit points with appropriate certification. An Academic Bank of Credit will be set up to enable digital storage of credits earned from different HEIs, which can also be transferred and counted as a part of the final degree.",0.35000000000000003,0.08333333333333333,Positive
63,"Thanks to NEP 2020, the Indian Higher Education sector will have a holistic and multi-disciplinary approach. UG education will offer flexible curricula, creative combinations of subjects, integration of vocational education.",0.525,0.3125,Positive
64,NEP 2020 has provisions to set up a Gender Inclusion Fund and also Special Education Zones. These will specially focus on making education more inclusive. NEP 2020 would improve the education infrastructure and opportunities for persons with disabilities.,0.5476190476190476,0.4047619047619048,Positive
65,Replacing 10+2 structure of school curricula with a 5+3+3+4 curricular structure will benefit the younger children. It will also be in tune with global best practices for development of mental faculties of a child. There are reforms in school curricula and pedagogy too.,0.125,0.225,Positive
66,"NEP 2020 gives utmost importance towards ensuring universal access to school education. There is emphasis on aspects such as better infrastructure, innovative education centres to bring back dropouts into the mainstream, facilitating multiple pathways to learning among others.",0.3333333333333333,0.16666666666666666,Positive
67,"NEP 2020 is based on the pillars of:

Access.

Equity.

Quality. 

Affordability.

Accountability.

In this era of knowledge, where learning, research and innovation are important, the NEP will transform India into a vibrant knowledge hub.",0.6666666666666666,0.2833333333333333,Positive
68,"I wholeheartedly welcome the approval of the National Education Policy 2020! This was a long due and much awaited reform in the education sector, which will transform millions of lives in the times to come! NewEducationPolicy

",0.46875,0.26875,Positive
69,"राष्ट्ररक्षासमं पुण्यं,

राष्ट्ररक्षासमं व्रतम्,

राष्ट्ररक्षासमं यज्ञो,

दृष्टो नैव च नैव च।।

नभः स्पृशं दीप्तम्...
स्वागतम्! RafaleInIndia ",0.0,0.0,Neutral
70,Launching high-throughput COVID-19 testing facilities. ,0.0,0.0,Neutral
71,Best wishes to Maharashtra CM Shri Uddhav Thackeray Ji on his birthday. I pray for Uddhav Ji’s long and healthy life. ,0.39999999999999997,0.48333333333333334,Positive
72,"Greetings to all  personnel on the 82nd Raising Day of this outstanding Force. CRPF is at the forefront of keeping our nation safe. The courage and professionalism of this force are widely admired. 

May the CRPF achieve even greater heights in the coming years.",0.56875,0.35,Positive
73,"At 4:30 PM on Monday, 27th July, high-throughput COVID-19 testing facilities will be launched. 

These high-throughput testing facilities being set up in Noida, Mumbai and Kolkata will help in further ramping up our testing capacity. 

",0.5,0.0,Neutral
74,"Youngsters like Kaniga and her sister personify the spirit of New India, where success is not merely determined by the family one is born in, the school/ college one studied, the big city one lives in. 

Hardwork and perseverance gives results. India is changing. MannKiBaat ",0.26363636363636367,0.17159090909090907,Positive
75,"Mathematics, his mischievous brother and writing make Usman happy.

All mathematics lovers like Usman should consider Vedic Maths classes…I am sure it would be a great learning experience. MannKiBaat ",0.8796296296296297,0.7000000000000001,Positive
76,"Vinayak’s secret to success is hardwork and proper time management. 

He is also a very lucky person because he is not on social media yet. :) MannKiBaat ",0.4777777777777777,0.14444444444444446,Positive
77,"Meet Kritika from Haryana…

She aspires to become a doctor. Apart from studies, she enjoys basketball.

She is also very proud of her Mother. MannKiBaat ",1.0,1.0,Positive
78,"A special oath-taking in Suriname, thousands of miles away from India…

India congratulates President Chan Santokhi and wishes him the very best for his Presidential term. We are very proud of the long-standing and deep-rooted cultural linkages with Suriname. MannKiBaat ",0.5153571428571428,0.6142857142857143,Positive
79,"India will always remember how our rural areas have shown remarkable fighting spirit in the battle against COVID-19.

Here are some efforts from Jammu and Kashmir that are outstanding. MannKiBaat ",0.5416666666666666,0.4166666666666667,Positive
80,"Madhubani art themed masks.

Bamboo products from the Northeast. 

Lemongrass farming in Jharkhand.

Fruit cultivation in Kutch and Ladakh.

India is full of exceptional people doing exceptional things. MannKiBaat ",0.85,0.561111111111111,Positive
81,"There is no question of complacency or carelessness when it comes to the COVID-19 global pandemic. 

Wear your mask.

Follow social distancing.

Remember ‘Do Gaj Ki Doori.’ MannKiBaat ",0.03333333333333333,0.016666666666666666,Positive
82,"Years ago, Mahatma Gandhi gave us a Talisman.

In 1999 after Kargil, beloved Atal Ji gave us a Mantra which is extremely relevant today. MannKiBaat ",0.95,0.55,Positive
83,"We saw in Kargil that while India always stands for harmony, we had also given a befitting reply to those who vitiated the spirit of peace.

I thank all those who have highlighted CourageInKargil…the valour of our forces which makes us proud. MannKiBaat ",1.0,0.8,Positive
84,"Today, as we mark 6YearsofMyGov, I appreciate all those across India who have enriched  by their active participation. 

MyGov has emerged as a noteworthy forum that celebrates participative governance. 

Do keep contributing! ",0.6,-0.16666666666666666,Negative
85,Tune in to this month’s MannKiBaat. ,0.0,0.0,Neutral
86,India remains eternally grateful to our soldiers for their bravery. CourageInKargil ,0.0,0.0,Neutral
87,"On Kargil Vijay Diwas, we remember the courage and determination of our armed forces, who steadfastly protected our nation in 1999. Their valour continues to inspire generations. 

Will speak more about this during today’s MannKiBaat, which begins shortly. CourageInKargil",0.5333333333333333,0.3,Positive
88,"Do tune in tomorrow, 26th July, at 11 AM. MannKiBaat. ",0.0,0.0,Neutral
89,"Reviewed progress of the PM-SVANidhi Scheme, which will have a transformative impact on the lives of street vendors. ",0.0,0.0,Neutral
90,Birthday greetings to my Cabinet colleague _ Ji. Her efforts to strengthen the vital food processing sector are admirable. She is also passionate about the progress of our hardworking farmers. I pray for her long and healthy life.,0.5375,0.125,Positive
91,"Met 4Gujarat President Shri  Ji. Hailing from a humble background, he rose the ranks in the Party and distinguished himself as an outstanding Karyakarta. His work as MP has also been appreciated. Am sure under his leadership the Gujarat BJP will scale newer heights. ",0.6427777777777778,0.31999999999999995,Positive
92,We are leaving no stone unturned to make the Northeast our growth engine. ,0.0,0.0,Neutral
93,Furthering peace and prosperity through connectivity. ,0.0,0.0,Neutral
94,"‘Ease of Living’ is the right of every citizen.

That is why, furthering it has been the priority of our Government for the last six years. ",0.3011904761904762,0.14285714285714285,Positive
95,"Today is a special day for the Nari Shakti of Manipur. 

Here is why… ",0.5714285714285714,0.35714285714285715,Positive
96,Laying the foundation stone of Manipur Water Supply Project. ,0.0,0.0,Neutral
97,भारत मां के दो वीर सपूत लोकमान्य बाल गंगाधर तिलक और चंद्रशेखर आजाद को उनकी जन्म-जयंती पर शत-शत नमन।,0.0,0.0,Neutral
98,"India and USA are natural partners. 

The US-India friendship has scaled many heights in the past. 
 
Now it is time our partnership plays an important role in helping the world bounce back faster after the pandemic! ",0.43,0.15,Positive
99,NOW is the best time to invest in India. ,0.3,1.0,Positive
100,"There is global optimism towards India because of:

India’s culture of openness. 

The many opportunities and options to invest. 

India awaits you! ",0.25,0.3125,Positive
101,Global economic resilience will be shaped by stronger domestic economic capacities. India is doing so by working towards an Aatmanirbhar Bharat. ,0.125,0.1,Positive
102,Addressing the IndiaIdeasSummit organised by . ,0.0,0.0,Neutral
103,"At 10:30 AM tomorrow, will join, via video conferencing, the programme to lay the foundation stone for the Manipur Water Supply Project. This project will boost our mission of 'Har Ghar Jal’ and greatly benefit the people of Manipur. 

",0.75,0.8,Positive
104,"Urged MPs to keep themselves updated with latest policy issues. Also emphasised on being effective on the floor of the House as well as in the field, among people. 

Reiterated the need for constant people connect and embracing latest technology as well as social media.",0.6000000000000001,0.3266666666666667,Positive
105,Had an excellent interaction with the newly elected 4India Rajya Sabha MPs. It was wonderful to hear their views and passion towards public service. This is a group of MPs who are diverse and will certainly make effective contributions to Parliamentary proceedings. ,0.6487734487734488,0.4917748917748918,Positive
106,Congratulations to our nuclear scientists for achieving criticality of Kakrapar Atomic Power Plant-3! This indigenously designed 700 MWe KAPP-3 reactor is a shining example of Make in India. And a trailblazer for many such future achievements!,0.375,0.16666666666666666,Positive
107,"Looking forward to addressing the IndiaIdeasSummit, organised by  today at 9 PM. Will be sharing my views on ‘Building a Better Future.’ Do watch. ",0.3125,0.25,Positive
108,"Shri Lalji Tandon was well-versed with constitutional matters. He enjoyed a long and close association with beloved Atal Ji. 

In this hour of grief, my condolences to the family and well-wishers of Shri Tandon. Om Shanti.",0.5750000000000001,0.08749999999999997,Positive
109,"Shri Lalji Tandon will be remembered for his untiring efforts to serve society. He played a key role in strengthening the BJP in Uttar Pradesh. He made a mark as an effective administrator, always giving importance of public welfare. Anguished by his passing away. ",0.6222222222222222,0.19999999999999998,Positive
110,"Highlighted reasons that make India an attractive investment destination. 

Was happy to know more about ’s efforts in furthering AI among students. I also thank  for his encouraging words on efforts like Ayushman Bharat &amp; India’s journey to become Aatmanirbhar.",0.8333333333333334,0.7000000000000001,Positive
111,"Had an extensive interaction with CEO of , Mr. . We discussed several subjects relating to technology, data security, emerging trends in healthcare and education.  ",0.16666666666666666,0.0,Neutral
112,": Hon'ble PM Shri  ji took stock of the contemporary situation regarding AssamFloods2020, COVID19 and Bag…",0.16666666666666666,0.16666666666666666,Positive
113,"We mourn the loss of US Congressman John Lewis, a champion of civil rights, non-violence and Gandhian values. His legacy will continue to endure and inspire.",0.0,0.0,Neutral
114,"In the passing away of Professor C. S. Seshadri, we have lost an intellectual stalwart who did outstanding work in mathematics. His efforts, especially in algebraic geometry, will be remembered for generations. Condolences to his family and admirers. Om Shanti.",0.7583333333333333,0.26666666666666666,Positive
115,Speaking at the High-Level Segment of ECOSOC. ,0.0,0.0,Neutral
116,"At 8:30 this evening, I would be addressing the High-Level Segment of ECOSOC. Would be speaking on various issues including this year’s theme of multilateralism after COVID-19, at a time when we mark 75 years of the . 

",0.5,0.0,Neutral
117,"The Tirukkural is extremely inspiring. It is a treasure of rich thoughts, noble ideals and great motivation. 

The words of respected Thiruvalluvar have the power to spread hope and brightness. 

I hope more youngsters across India read it! ",0.78,0.5800000000000001,Positive
118,"தெய்வப்புலவர் திருவள்ளுவரின் எழுத்துக்கள், நம்பிக்கையும் ஒளியும் பரப்பிடும் வல்லமை வாய்ந்தவை. இந்தியா முழுதிலுமுள்ள  இளைஞர்கள் பலரும் திருக்குறளைப் படித்துப் பயனுருவர் என நம்புகிறேன்.",0.0,0.0,Neutral
119,"திருக்குறள் அதி அற்புதமான ஊக்குவிப்பு நூலாகும்.           உயரிய சிந்தனைகள், உன்னதக் குறிக்கோள்கள், ஊக்கம் தரும்  கருத்துக்களை உள்ளடக்கிய பொக்கிஷமாகும். ",0.0,0.0,Neutral
120,"Acharya Shree Purushottampriyadasji Swamishree Maharaj was blessed with immense wisdom. His emphasis on community service, education and women empowerment will always be remembered. I will never forget my many interactions with him. Om Shanti.",0.75,0.25,Positive
121,"We will always remember Acharya Shree Purushottampriyadasji Swamishree Maharaj for his noble service to society. He worked hard to alleviate human suffering and further compassion. He will be remembered by countless people, not only in India but globally.",0.505952380952381,0.044047619047619044,Positive
122,"For those who aren’t happy with their CBSE Class X and XII results, I want to tell them- one exam doesn’t define who you are. Each of you is blessed with numerous talents. Live life to the fullest. Never lose hope, always look ahead. You will do wonders!",0.6666666666666666,0.3234848484848485,Positive
123,Congratulations to all my young friends who have successfully passed their Class X and XII CBSE examinations. Wishing them the very best for their future endeavours.,0.46625000000000005,0.4625,Positive
124,"The future belongs to technology. 

It is important to work together to further the usage of latest technology for the benefit of our people. ",0.63125,0.225,Positive
125,"Today’s India-EU Summit was an extremely fruitful one.  , _Commission President  and I interacted on a variety of subjects including the COVID-19 situation, multilateralism, environment, trade, investment, digital economy and more.",0.5,0.125,Positive
126,"Anguished by the passing away of Shri Jagdeoram Oran Ji, President of the Vanvasi Kalyan Ashram. His was a life devoted to serving the tribal communities. He was known for his kind and hardworking nature. Om Shanti.",0.9,0.6,Positive
127,Addressing the India-EU Summit. ,0.0,0.0,Neutral
128,The world needs skilled hands and we in India have the talent-force to cater to these global needs. 5YearsofSkillIndia ,0.25,0.25,Positive
129,"Knowledge and skill are two different things.

Do you know who taught me the difference well? It was a mechanic in a remote, tribal-dominated area where I had gone years ago. 5YearsofSkillIndia ",0.4,-0.05,Negative
130,"Skill is timeless. 

Skill is unique.

Skill is a treasure that nobody can take away.

Skill is self-reliance, it not only makes one employable but also self-employable. 5YearsofSkillIndia ",1.0,0.1875,Positive
131,"Today’s buzzwords:

Skill.

Re-skill.

Upskill.

5YearsofSkillIndia ",0.0,0.0,Neutral
132,"बाबा केदार के दर्शन मात्र से करोड़ों श्रद्धालुओं को अपूर्व ऊर्जा मिलती है। यात्रियों को गौरीकुंड-केदारनाथ मार्ग पर सभी सुविधाएं मिलें, टेक्नोलॉजी के द्वारा तीर्थ के ऐतिहासिक और सांस्कृतिक महत्त्व को दिखाया जाए, ऐसी व्यवस्थाएं विकसित हों, इनको लेकर भी विस्तृत समीक्षा की गई।",0.0,0.0,Neutral
133,"केदारनाथ मंदिर और जगद्गुरु आदि शंकराचार्य जी के समाधि स्थल की दिव्यता बढ़े, स्वच्छता को केंद्र में रखकर और व्यापक विकास हो, इन पर भी बात हुई। मुझे विश्वास है कि बाबा के आशीर्वाद से केदारनाथ धाम के अलौकिक स्वरूप में और भी वृद्धि होगी।",0.0,0.0,Neutral
134,पवित्र सावन मास में आज केदारनाथ धाम में हो रहे विकास कार्यों और धाम की दिव्यता को और बढ़ाने के लिए चल रहे प्रयासों की समीक्षा करने का सौभाग्य प्राप्त हुआ। ,0.0,0.0,Neutral
135,Addressing a conclave on World Youth Skills Day. ,0.0,0.0,Neutral
136,"Today on World Youth Skills Day, will be addressing, via video link, a conclave being organized by the Ministry of Skill Development and Entrepreneurship at 11 AM. This conclave also marks five years of the Skill India Mission.",0.0,0.0,Neutral
137,Will take part in the India-EU Summit at 4:30 PM today. I am confident this Summit will further strengthen our economic as well as cultural linkages with Europe.,0.4083333333333334,0.19999999999999998,Positive
