,Tweets,Subjectivity,Polarity,Analysis
138,Greetings to my Cabinet colleague  Ji on his birthday. He is making numerous efforts to transform our education sector. Praying for his long and healthy life.,0.4666666666666666,0.15,Positive
139,"Felicitations to my dear friend  and the friendly people of France on the occasion of Bastille Day! We are committed to further strengthening India's important strategic partnership with France, and expanding our cooperation.",0.6666666666666666,0.28958333333333336,Positive
140,"Best wishes to the Chief Minister of Mizoram, Mr.  on his birthday. One of the senior most and respected leaders in our polity, he has worked extensively for the welfare of Mizoram. May Almighty bless him with a long and healthy life in service of the people.",0.4066666666666666,0.39,Positive
141,"I was delighted to know more about the efforts of  in several sectors, be it in education, learning, @_DigitalIndia, furthering digital payments and more. ",0.33999999999999997,0.33999999999999997,Positive
142,"During our interaction,  and I spoke about the new work culture that is emerging in the times of COVID-19. We discussed the challenges the global pandemic has brought to areas such as sports. We also talked about the importance of data security and cyber safety.",0.3181818181818182,0.04545454545454545,Positive
143,"This morning, had an extremely fruitful interaction with . We spoke on a wide range of subjects, particularly leveraging the power of technology to transform the lives of India’s farmers, youngsters and entrepreneurs. ",0.5777777777777777,-0.019444444444444448,Negative
144,શ્રી નગીનદાસ સંઘવી પ્રબુદ્ધ લેખક-વિચારક હતા. એમના લેખો અને પુસ્તકોમાં ઇતિહાસ અને તત્વજ્ઞાનની સમજ અને રાજકીય ઘટનાઓનું પૃથક્કરણ કરવાની અસાધારણ શક્તિનો પરિચય થાય છે. એમના અવસાનથી દુ:ખની લાગણી અનુભવું છું. શોકગ્રસ્ત પરિવાર અને એમના વિશાળ વાચકવર્ગને સાંત્વના...ઓમ શાંતિ !!,0.0,0.0,Neutral
145,Also discussed ways to further step-up our capacities to prevent the spread of COVID-19. We also highlighted successful initiatives being undertaken across India to ensure the Coronavirus is kept under check.,0.725,0.375,Positive
146,Had an extensive meeting to review the COVID-19 situation across the nation. Took stock of the ongoing efforts to contain the infection. Priority is close monitoring and guiding the containment works in regions where the infection rate is high. ,0.43666666666666665,0.08,Positive
147,Congratulations to Prime Minister  for success in the General Elections! Best wishes to the people of Singapore for a peaceful and prosperous future.,0.28500000000000003,0.3225,Positive
148,"There are multiple ways to give inputs for MannKiBaat.

Record a message by dialling 1800-11-7800.

Share your inputs on the specially created Open Forum on the NaMo App.

Pen your views on MyGov.  ",0.35714285714285715,0.11904761904761905,Positive
